KKGC36UM,6034060,Kodak Kodacolor Ultra Max 400 35mm 36exporsure,コダックウルトラマックス,Kodak Ultra Max 400,400,35,36
KKGB36U,6033997,Kodak Kodacolor Gold 200 35mm 36exposure,コダックゴールド,Kodak Gold 200,200,35,36
KKP40036PP,6031678,Kodak Portra 400 35mm 36exposure,コダックポートラ,Kodak Portra 400,400,35,36
